CID	drugName	ChEMBLID
4534	Nordihydroguaiaretic acid	CHEMBL52
5281672	Myricetin	CHEMBL164
16760499	HA-1004	NA
3546	HA-1004	CHEMBL143054
6917872	HA-1004	CHEMBL1204354
6603792	7-Cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine	CHEMBL47940
44259	Staurosporine	CHEMBL388978
5311103	Staurosporine	CHEMBL1537489
5279	Staurosporine	CHEMBL1980995
451705	Staurosporine	NA
5459111	Staurosporine	NA
6419748	Staurosporine	NA
9937179	Staurosporine	NA
9956178	Staurosporine	NA
6711321	Staurosporine	NA
44299148	Staurosporine	CHEMBL162
42610657	Staurosporine	CHEMBL2375177
49831000	Staurosporine	NA
64945	Ursolic acid	CHEMBL169
12035	N-acetyl-L-cysteine	CHEMBL600
3547	Fasudil	CHEMBL38380
4713	PD-98059	CHEMBL35482
65064	Epigallocatechin gallate	CHEMBL297453
