CID	drugName
4534	Nordihydroguaiaretic acid
5281672	Myricetin 
16760499	HA-1004
3546	HA-1004
6917872	HA-1004
6603792	7-Cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine 
44259	Staurosporine 
5311103	Staurosporine 
5279	Staurosporine 
451705	Staurosporine 
5459111	Staurosporine 
6419748	Staurosporine 
9937179	Staurosporine 
9956178	Staurosporine 
6711321	Staurosporine 
44299148	Staurosporine 
42610657	Staurosporine 
49831000	Staurosporine 
64945	Ursolic acid
12035	N-acetyl-L-cysteine 
3547	Fasudil
4713	PD-98059
65064	Epigallocatechin gallate
