CID	drugName	ChEMBLID
7847	acrolein	CHEMBL721
5281884	valspodar	CHEMBL1086218
16130957	ganirelix	CHEMBL1251
23724914	ganirelix	NA
177	acetaldehyde	CHEMBL170365
25074458	mmk-1	NA
219021	rdp-58	NA
25074887	cetrorelix	CHEMBL1200490
25180495	gal-b5	CHEMBL506495
16133821	m40	CHEMBL604990
5388925	DB03393	CHEMBL410807
387447	bortezomib	CHEMBL325041
57339973	ro 25-1392	NA
56842118	gv1001	NA
6134	lactose	CHEMBL417016
440995	lactose	NA
84571	lactose	NA
294	lactose	NA
49837892	lactose	NA
69301022	lactose	NA
8223	ergotamine	CHEMBL442
449005	cardiolipin	NA
457193	dactinomycin	CHEMBL1554
6918562	abt-510	CHEMBL386115
6441264	aplyronine a	NA
10351178	aplyronine a	NA
11840920	aplyronine a	NA
11136922	aplyronine a	NA
23427989	aplyronine a	CHEMBL412190
3000706	valinomycin	CHEMBL223643
441139	valinomycin	NA
5649	valinomycin	CHEMBL602575
16217526	valinomycin	NA
71752904	valinomycin	NA
122173113	valinomycin	NA
131668508	valinomycin	NA
