CID	drugName
7847	acrolein
5281884	valspodar
16130957	ganirelix
23724914	ganirelix
177	acetaldehyde
25074458	mmk-1
219021	rdp-58
25074887	cetrorelix
25180495	gal-b5
16133821	m40
5388925	DB03393
387447	bortezomib
57339973	ro 25-1392
56842118	gv1001
6134	lactose
440995	lactose
84571	lactose
294	lactose
49837892	lactose
69301022	lactose
8223	ergotamine
449005	cardiolipin
457193	dactinomycin
6918562	abt-510
6441264	aplyronine a
10351178	aplyronine a
11840920	aplyronine a
11136922	aplyronine a
23427989	aplyronine a
3000706	valinomycin
441139	valinomycin
5649	valinomycin
16217526	valinomycin
71752904	valinomycin
122173113	valinomycin
131668508	valinomycin
