CID	drugName
5288382	geldanamycin
13017912	geldanamycin
3460	geldanamycin
5281885	geldanamycin
73554183	geldanamycin
5288451	geldanamycin
24870960	geldanamycin
71307093	geldanamycin
644250	geldanamycin
5702269	geldanamycin
6708467	geldanamycin
24196291	geldanamycin
71308206	geldanamycin
71317043	geldanamycin
45073431	geldanamycin
122172929	geldanamycin
129317875	geldanamycin
133109195	geldanamycin
134688510	geldanamycin
134694652	geldanamycin
134812766	geldanamycin
6323491	monorden
5284616	sirolimus
204	allantoin
3973	LY-294002
68712	rilmenidine
5311	vorinostat
5287844	6-Bromoindirubin-3'-oxime
11405589	6-Bromoindirubin-3'-oxime
14957	antimycin A
12550	antimycin A
16218979	antimycin A
6604296	antimycin A
6420045	antimycin A
6505803	tanespimycin
444732	trichostatin A
