CID	drugName	ChEMBLID
442872	Securinine	CHEMBL303062
23666112	Levothyroxine sodium	NA
5819	Levothyroxine sodium	CHEMBL1624
23667619	Levothyroxine sodium	CHEMBL2103741
78759348	Levothyroxine sodium	NA
23665037	Levothyroxine sodium	NA
9832253	Levothyroxine sodium	NA
23615408	Levothyroxine sodium	NA
90454	Cinchonine	CHEMBL588619
2724372	Cinchonine	CHEMBL2357353
8350	Cinchonine	NA
2757	Cinchonine	CHEMBL15134
5702153	Cinchonine	NA
6916142	Cinchonine	NA
688243	Cinchonine	CHEMBL461234
6419964	Cinchonine	NA
6713951	Cinchonine	NA
6957610	Cinchonine	NA
75466425	Cinchonine	NA
92131260	Cinchonine	NA
5288382	Geldanamycin	CHEMBL278315
13017912	Geldanamycin	NA
3460	Geldanamycin	NA
5281885	Geldanamycin	CHEMBL182055
73554183	Geldanamycin	NA
5288451	Geldanamycin	NA
24870960	Geldanamycin	NA
71307093	Geldanamycin	NA
644250	Geldanamycin	NA
5702269	Geldanamycin	NA
6708467	Geldanamycin	NA
24196291	Geldanamycin	NA
71308206	Geldanamycin	NA
71317043	Geldanamycin	NA
45073431	Geldanamycin	NA
122172929	Geldanamycin	NA
129317875	Geldanamycin	NA
133109195	Geldanamycin	NA
134688510	Geldanamycin	NA
134694652	Geldanamycin	NA
134812766	Geldanamycin	NA
6323490	Rifabutin	CHEMBL444633
12852963	Rifabutin	NA
5361912	Rifabutin	NA
46783538	Rifabutin	NA
57448257	Rifabutin	NA
6828193	Rifabutin	NA
73265280	Rifabutin	NA
22833871	Rifabutin	CHEMBL3392929
45356259	Rifabutin	NA
50989074	Rifabutin	NA
73897290	Rifabutin	NA
73897566	Rifabutin	NA
134689745	Rifabutin	NA
134692205	Rifabutin	NA
20710	Atropine oxide	CHEMBL177828
3000668	Atropine oxide	NA
6505803	Tanespimycin	CHEMBL109480
5288674	Alvespimycin	CHEMBL383824
5311	Vorinostat	CHEMBL98
444732	Trichostatin A	CHEMBL99
5566	Trifluoperazine	CHEMBL422
444795	Tretinoin	CHEMBL38
3973	LY-294002	CHEMBL98350
5452	Thioridazine	CHEMBL479
5284616	Sirolimus	CHEMBL413
312145	Wortmannin	CHEMBL428496
445154	Resveratrol	CHEMBL165
10219	Emetine	CHEMBL50588
30323	Daunorubicin	CHEMBL178
6539118	GW-8510	CHEMBL1276446
60838	Irinotecan	CHEMBL481
24360	Camptothecin	CHEMBL65
6620134	Quinostatin	NA
