CID	drugName
442872	Securinine
23666112	Levothyroxine sodium
5819	Levothyroxine sodium
23667619	Levothyroxine sodium
78759348	Levothyroxine sodium
23665037	Levothyroxine sodium
9832253	Levothyroxine sodium
23615408	Levothyroxine sodium
90454	Cinchonine
2724372	Cinchonine
8350	Cinchonine
2757	Cinchonine
5702153	Cinchonine
6916142	Cinchonine
688243	Cinchonine
6419964	Cinchonine
6713951	Cinchonine
6957610	Cinchonine
75466425	Cinchonine
92131260	Cinchonine
5288382	Geldanamycin
13017912	Geldanamycin
3460	Geldanamycin
5281885	Geldanamycin
73554183	Geldanamycin
5288451	Geldanamycin
24870960	Geldanamycin
71307093	Geldanamycin
644250	Geldanamycin
5702269	Geldanamycin
6708467	Geldanamycin
24196291	Geldanamycin
71308206	Geldanamycin
71317043	Geldanamycin
45073431	Geldanamycin
122172929	Geldanamycin
129317875	Geldanamycin
133109195	Geldanamycin
134688510	Geldanamycin
134694652	Geldanamycin
134812766	Geldanamycin
6323490	Rifabutin
12852963	Rifabutin
5361912	Rifabutin
46783538	Rifabutin
57448257	Rifabutin
6828193	Rifabutin
73265280	Rifabutin
22833871	Rifabutin
45356259	Rifabutin
50989074	Rifabutin
73897290	Rifabutin
73897566	Rifabutin
134689745	Rifabutin
134692205	Rifabutin
20710	Atropine oxide
3000668	Atropine oxide
6505803	Tanespimycin
5288674	Alvespimycin
5311	Vorinostat
444732	Trichostatin A
5566	Trifluoperazine
444795	Tretinoin
3973	LY-294002
5452	Thioridazine
5284616	Sirolimus
312145	Wortmannin
445154	Resveratrol
10219	Emetine
30323	Daunorubicin
6539118	GW-8510
60838	Irinotecan
24360	Camptothecin
6620134	Quinostatin
