CID	drugName	ChEMBLID
5691	CID100005691	NA
2909	CID000002909	NA
6031	CID000006031	CHEMBL130266
1158	CID100001158	NA
439155	CID000439155	CHEMBL418052
193	CID100000193	NA
1117	CID100001117	NA
1079	CID100001079	CHEMBL3560400
66840	CID000066840	CHEMBL106072
312145	CID000312145	CHEMBL428496
857	CID100000857	CHEMBL46575
6329	CID100006329	CHEMBL43280
6329	CID000006329	CHEMBL43280
271	CID000000271	NA
271	CID100000271	NA
1110	CID100001110	CHEMBL576
51	CID100000051	CHEMBL1686
16404350	CID016404350	NA
4462	CID100004462	CHEMBL1236594
119058	CID100119058	NA
440613	CID100440613	NA
92153	CID000092153	NA
74	CID100000074	NA
445344	CID000445344	NA
446013	CID000446013	NA
380	CID100000380	NA
705	CID100000705	NA
165390	CID000165390	NA
877	CID100000877	NA
1126	CID100001126	NA
586	CID100000586	CHEMBL283800
439762	CID000439762	NA
1116	CID100001116	NA
439284	CID000439284	NA
719	CID100000719	NA
440641	CID000440641	CHEMBL604196
66370	CID000066370	NA
18396	CID000018396	NA
732	CID100000732	NA
6830	CID000006830	CHEMBL1233147
762	CID100000762	NA
06450842	CID006450842	NA
232	CID100000232	NA
703	CID100000703	CHEMBL3580425
23925	CID100023925	NA
784	CID000000784	CHEMBL71595
784	CID100000784	CHEMBL71595
1110	CID000001110	CHEMBL576
8629	CID000008629	CHEMBL375951
05459784	CID005459784	NA
513	CID100000513	NA
311	CID100000311	CHEMBL1261
05318532	CID005318532	NA
1198	CID100001198	CHEMBL539669
309	CID100000309	NA
992	CID000000992	CHEMBL75967
992	CID100000992	CHEMBL75967
21307	CID100021307	CHEMBL1231667
723	CID100000723	NA
439456	CID000439456	CHEMBL279107
806	CID100000806	NA
928	CID100000928	NA
317	CID100000317	NA
87642	CID000087642	CHEMBL1213327
1167	CID100001167	NA
900	CID100000900	NA
445675	CID000445675	NA
440364	CID000440364	NA
724	CID100000724	CHEMBL87788
729	CID100000729	NA
283	CID100000283	NA
439183	CID000439183	CHEMBL1160563
6804	CID000006804	CHEMBL283807
761	CID100000761	NA
8977	CID000008977	CHEMBL384759
730	CID100000730	NA
647	CID100000647	CHEMBL343480
23930	CID000023930	NA
23930	CID100023930	NA
767	CID000000767	CHEMBL1161632
767	CID100000767	CHEMBL1161632
1005	CID100001005	CHEMBL1235228
970	CID100000970	CHEMBL1794791
1060	CID100001060	CHEMBL1162144
1003	CID100001003	NA
6133	CID000006133	CHEMBL336296
1181	CID100001181	NA
5819	CID000005819	CHEMBL1624
03001028	CID003001028	NA
05280723	CID005280723	NA
448457	CID000448457	CHEMBL1235252
4462	CID000004462	CHEMBL1236594
222	CID100000222	CHEMBL1160819
122357	CID000122357	CHEMBL1232448
697	CID100000697	CHEMBL75612
230	CID100000230	NA
1132	CID100001132	CHEMBL1236376
77982	CID000077982	NA
222	CID000000222	CHEMBL1160819
6176	CID000006176	CHEMBL223533
593	CID100000593	NA
5884	CID000005884	CHEMBL407009
930	CID100000930	NA
1023	CID100001023	CHEMBL1160571
23994	CID100023994	NA
5885	CID000005885	CHEMBL295069
929	CID100000929	NA
205	CID100000205	CHEMBL30037
224	CID100000224	NA
439167	CID100439167	NA
977	CID000000977	CHEMBL1234886
977	CID100000977	CHEMBL1234886
9290	CID000009290	CHEMBL2106119
151228	CID000151228	NA
151228	CID100151228	NA
604	CID100000604	NA
1166	CID100001166	NA
765	CID100000765	CHEMBL278434
54676905	CID054676905	CHEMBL228043
644066	CID000644066	NA
869	CID100000869	NA
813	CID100000813	NA
6131	CID000006131	CHEMBL307679
6030	CID000006030	CHEMBL214393
1172	CID100001172	NA
940	CID100000940	NA
1041	CID100001041	NA
439924	CID000439924	CHEMBL438497
314	CID100000314	CHEMBL296272
14180	CID000014180	CHEMBL610238
939	CID100000939	NA
596	CID100000596	CHEMBL78
6175	CID000006175	CHEMBL95606
2514	CID100002514	NA
2514	CID000002514	NA
6022	CID000006022	CHEMBL14830
197	CID100000197	NA
24316	CID000024316	CHEMBL395336
295	CID100000295	NA
5892	CID000005892	CHEMBL1234613
925	CID100000925	NA
888	CID100000888	NA
876	CID100000876	CHEMBL274119
23978	CID100023978	NA
23978	CID000023978	NA
961	CID100000961	NA
961	CID000000961	NA
44072	CID000044072	CHEMBL3184255
44072	CID100044072	CHEMBL3184255
1153	CID100001153	CHEMBL108615
206	CID100000206	NA
446849	CID000446849	CHEMBL282489
05280346	CID005280346	NA
443955	CID000443955	CHEMBL71752
6106	CID000006106	CHEMBL291962
175	CID100000175	NA
1047	CID000001047	CHEMBL613
1047	CID100001047	CHEMBL613
936	CID100000936	CHEMBL1140
937	CID100000937	NA
05311325	CID005311325	NA
5056	CID100005056	CHEMBL2019155
05280343	CID105280343	NA
05311325	CID105311325	NA
238	CID100000238	NA
119	CID100000119	CHEMBL96
743	CID100000743	CHEMBL1162495
1609	CID000001609	CHEMBL24983
923	CID000000923	NA
923	CID100000923	NA
667490	CID100667490	CHEMBL1425
586	CID000000586	CHEMBL283800
6288	CID000006288	CHEMBL291747
208	CID100000208	NA
03626837	CID003626837	NA
445354	CID000445354	CHEMBL986
1071	CID100001071	NA
1697	CID000001697	CHEMBL268868
440	CID100000440	NA
91477	CID000091477	CHEMBL63243
2537	CID100002537	CHEMBL15768
60703	CID000060703	CHEMBL28564
3255	CID100003255	CHEMBL1671887
02921148	CID002921148	NA
6057	CID000006057	CHEMBL925
05284373	CID005284373	NA
4615	CID000004615	CHEMBL13828
1005	CID000001005	CHEMBL1235228
985	CID100000985	CHEMBL82293
187	CID100000187	CHEMBL667
305	CID100000305	CHEMBL920
439427	CID000439427	CHEMBL257975
64689	CID000064689	CHEMBL1614854
129887	CID100129887	NA
6503	CID100006503	CHEMBL1200391
440938	CID000440938	NA
440938	CID100440938	NA
2735	CID100002735	NA
3008	CID100003008	CHEMBL22207
04605800	CID004605800	NA
2051	CID000002051	CHEMBL7917
03654103	CID003654103	NA
28417	CID000028417	CHEMBL1479
06604000	CID006604000	NA
667490	CID000667490	CHEMBL1425
34755	CID000034755	CHEMBL1088977
5035	CID100005035	CHEMBL81
764	CID100000764	CHEMBL219568
190	CID100000190	CHEMBL226345
1175	CID100001175	CHEMBL792
790	CID100000790	CHEMBL1427
1188	CID100001188	CHEMBL1424
439153	CID000439153	NA
23994	CID000023994	NA
647	CID000000647	CHEMBL343480
05702062	CID005702062	NA
6503	CID000006503	CHEMBL1200391
3820	CID000003820	CHEMBL296586
06603792	CID006603792	NA
4507	CID000004507	CHEMBL475534
1015	CID000001015	CHEMBL146972
10531	CID000010531	CHEMBL1732
68841	CID000068841	CHEMBL284377
983	CID000000983	CHEMBL1230191
21307	CID000021307	CHEMBL1231667
6758	CID000006758	CHEMBL429023
1238	CID000001238	CHEMBL64249
8515	CID000008515	CHEMBL7064
5768	CID000005768	NA
3822	CID000003822	CHEMBL51
01547484	CID001547484	NA
9880	CID000009880	CHEMBL139835
6306	CID000006306	CHEMBL1233584
3194	CID000003194	CHEMBL51085
445639	CID000445639	CHEMBL8659
2170	CID000002170	CHEMBL1113
444972	CID000444972	CHEMBL503160
96	CID000000096	CHEMBL1230762
564	CID000000564	CHEMBL1046
