CID	drugName
5691	CID100005691
2909	CID000002909
6031	CID000006031
1158	CID100001158
439155	CID000439155
193	CID100000193
1117	CID100001117
1079	CID100001079
66840	CID000066840
312145	CID000312145
857	CID100000857
6329	CID100006329
6329	CID000006329
271	CID000000271
271	CID100000271
1110	CID100001110
51	CID100000051
16404350	CID016404350
4462	CID100004462
119058	CID100119058
440613	CID100440613
92153	CID000092153
74	CID100000074
445344	CID000445344
446013	CID000446013
380	CID100000380
705	CID100000705
165390	CID000165390
877	CID100000877
1126	CID100001126
586	CID100000586
439762	CID000439762
1116	CID100001116
439284	CID000439284
719	CID100000719
440641	CID000440641
66370	CID000066370
18396	CID000018396
732	CID100000732
6830	CID000006830
762	CID100000762
06450842	CID006450842
232	CID100000232
703	CID100000703
23925	CID100023925
784	CID000000784
784	CID100000784
1110	CID000001110
8629	CID000008629
05459784	CID005459784
513	CID100000513
311	CID100000311
05318532	CID005318532
1198	CID100001198
309	CID100000309
992	CID000000992
992	CID100000992
21307	CID100021307
723	CID100000723
439456	CID000439456
806	CID100000806
928	CID100000928
317	CID100000317
87642	CID000087642
1167	CID100001167
900	CID100000900
445675	CID000445675
440364	CID000440364
724	CID100000724
729	CID100000729
283	CID100000283
439183	CID000439183
6804	CID000006804
761	CID100000761
8977	CID000008977
730	CID100000730
647	CID100000647
23930	CID000023930
23930	CID100023930
767	CID000000767
767	CID100000767
1005	CID100001005
970	CID100000970
1060	CID100001060
1003	CID100001003
6133	CID000006133
1181	CID100001181
5819	CID000005819
03001028	CID003001028
05280723	CID005280723
448457	CID000448457
4462	CID000004462
222	CID100000222
122357	CID000122357
697	CID100000697
230	CID100000230
1132	CID100001132
77982	CID000077982
222	CID000000222
6176	CID000006176
593	CID100000593
5884	CID000005884
930	CID100000930
1023	CID100001023
23994	CID100023994
5885	CID000005885
929	CID100000929
205	CID100000205
224	CID100000224
439167	CID100439167
977	CID000000977
977	CID100000977
9290	CID000009290
151228	CID000151228
151228	CID100151228
604	CID100000604
1166	CID100001166
765	CID100000765
54676905	CID054676905
644066	CID000644066
869	CID100000869
813	CID100000813
6131	CID000006131
6030	CID000006030
1172	CID100001172
940	CID100000940
1041	CID100001041
439924	CID000439924
314	CID100000314
14180	CID000014180
939	CID100000939
596	CID100000596
6175	CID000006175
2514	CID100002514
2514	CID000002514
6022	CID000006022
197	CID100000197
24316	CID000024316
295	CID100000295
5892	CID000005892
925	CID100000925
888	CID100000888
876	CID100000876
23978	CID100023978
23978	CID000023978
961	CID100000961
961	CID000000961
44072	CID000044072
44072	CID100044072
1153	CID100001153
206	CID100000206
446849	CID000446849
05280346	CID005280346
443955	CID000443955
6106	CID000006106
175	CID100000175
1047	CID000001047
1047	CID100001047
936	CID100000936
937	CID100000937
05311325	CID005311325
5056	CID100005056
05280343	CID105280343
05311325	CID105311325
238	CID100000238
119	CID100000119
743	CID100000743
1609	CID000001609
923	CID000000923
923	CID100000923
667490	CID100667490
586	CID000000586
6288	CID000006288
208	CID100000208
03626837	CID003626837
445354	CID000445354
1071	CID100001071
1697	CID000001697
440	CID100000440
91477	CID000091477
2537	CID100002537
60703	CID000060703
3255	CID100003255
02921148	CID002921148
6057	CID000006057
05284373	CID005284373
4615	CID000004615
1005	CID000001005
985	CID100000985
187	CID100000187
305	CID100000305
439427	CID000439427
64689	CID000064689
129887	CID100129887
6503	CID100006503
440938	CID000440938
440938	CID100440938
2735	CID100002735
3008	CID100003008
04605800	CID004605800
2051	CID000002051
03654103	CID003654103
28417	CID000028417
06604000	CID006604000
667490	CID000667490
34755	CID000034755
5035	CID100005035
764	CID100000764
190	CID100000190
1175	CID100001175
790	CID100000790
1188	CID100001188
439153	CID000439153
23994	CID000023994
647	CID000000647
05702062	CID005702062
6503	CID000006503
3820	CID000003820
06603792	CID006603792
4507	CID000004507
1015	CID000001015
10531	CID000010531
68841	CID000068841
983	CID000000983
21307	CID000021307
6758	CID000006758
1238	CID000001238
8515	CID000008515
5768	CID000005768
3822	CID000003822
01547484	CID001547484
9880	CID000009880
6306	CID000006306
3194	CID000003194
445639	CID000445639
2170	CID000002170
444972	CID000444972
96	CID000000096
564	CID000000564
