ChEMBLID	study	gene_name	drug_name	interaction_claim_source
CHEMBL52	Aliper2016	CSF2	NORDIHYDROGUAIARETIC ACID	NCI
CHEMBL52	Aliper2016	PLAU	NORDIHYDROGUAIARETIC ACID	NCI
CHEMBL52	Aliper2016	AFP	NORDIHYDROGUAIARETIC ACID	NCI
CHEMBL52	Aliper2016	MAPK10	NORDIHYDROGUAIARETIC ACID	NCI
CHEMBL52	Aliper2016	TNF	NORDIHYDROGUAIARETIC ACID	NCI
CHEMBL47940	Aliper2016	LCK	CHEMBL47940	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	PHKG2	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CHRM1	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	COL1A2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CSF2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	IL2RA	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	MAP2K4	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	VDR	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	NR3C1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CP	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	DDIT3	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	IL17F	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	FCGR2B	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	FST	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	NR5A1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PRKCI	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CGA	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	TNIK	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	STK3	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	SLC2A4	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PAK2	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CCL11	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	BIRC5	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PRKACB	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CTGF	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PKN1	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CD44	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	MAP2K6	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CAST	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	DIABLO	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	EZR	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CAMK2B	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	TRPV1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	GFAP	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CTSG	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	NOS1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CGB5	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	NPPC	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	IFI27	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	IGF1R	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CARD9	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CCNA2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CYP19A1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PTGES	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	ITGAL	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	BDNF	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	ADAMTS5	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	GNRH1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	NFE2L2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	PLA2G1B	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CXCL2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CHRM2	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CDK2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	MARCKSL1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	EIF2S1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	TFAP2A	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	IBSP	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	TGM2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	HIPK1	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	SLC1A1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	ANXA1	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	APLN	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CCL25	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	DAPK1	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL388978	Aliper2016	CD2	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	APOE	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	OSM	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	WWOX	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	GHRL	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	SLPI	STAUROSPORINE	NCI
CHEMBL388978	Aliper2016	CHRM4	STAUROSPORINE	GuideToPharmacologyInteractions
CHEMBL600	Aliper2016	SLC6A3	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	CXCR2	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	IGF1R	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	MT1E	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	E2F1	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	VWF	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	SLC2A4	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	NTRK1	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	NR4A1	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	LDLR	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	SFTPA1	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	H2AFX	ACETYLCYSTEINE	NCI
CHEMBL600	Aliper2016	ACO1	ACETYLCYSTEINE	NCI
CHEMBL38380	Aliper2016	CBL	FASUDIL	CKB
CHEMBL38380	Aliper2016	GATA2	FASUDIL	CKB
CHEMBL38380	Aliper2016	GATA2	FASUDIL	CIViC
CHEMBL38380	Aliper2016	ROCK2	FASUDIL	GuideToPharmacologyInteractions
CHEMBL38380	Aliper2016	CBLB	FASUDIL	CKB
CHEMBL38380	Aliper2016	ROCK1	FASUDIL	GuideToPharmacologyInteractions
CHEMBL38380	Aliper2016	KRAS	FASUDIL	CKB
CHEMBL35482	Aliper2016	KRT19	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	ADM	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	VDR	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	BIRC5	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	FGFR3	CHEMBL35482	CKB
CHEMBL35482	Aliper2016	PLG	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	CD55	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	NRG1	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	MDM2	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	NEUROD1	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	NR4A1	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	FLT3	CHEMBL35482	CKB
CHEMBL35482	Aliper2016	BGLAP	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	MYC	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	GCG	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	CDKN1B	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	SLC2A4	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	MAPK10	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	MUC2	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	CGB5	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	NR5A1	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	ERBB2	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	DSG1	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	HRAS	CHEMBL35482	NCI
CHEMBL35482	Aliper2016	PTPN11	CHEMBL35482	CKB
CHEMBL297453	Aliper2016	SLC2A4	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	EP300	EPIGALOCATECHIN GALLATE	GuideToPharmacologyInteractions
CHEMBL297453	Aliper2016	ERBB2	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	COIL	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	NOS1	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	APOB	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	HMGB1	EPIGALOCATECHIN GALLATE	NCI
CHEMBL297453	Aliper2016	NFE2L2	EPIGALOCATECHIN GALLATE	NCI
