CID	drugName	ChEMBLID
9290	Calcium gluconate	CHEMBL2106119
13144	Calcium lactate	CHEMBL2106111
10690	Gluconic acid	CHEMBL464345
612	Lactic acid	CHEMBL1200559
875	Tartaric acid	CHEMBL333714
444305	Tartaric acid	CHEMBL1236315
439655	Tartaric acid	CHEMBL1200861
6346	Diiodomethane	NA
311	Citrate	CHEMBL1261
31348	Citrate	NA
22230	Citrate	CHEMBL2107737
15012407	Citrate	NA
31404	Butylated hydroxytoluene	CHEMBL146
6093170	Edetate Calcium Disodium	CHEMBL1200375
6109	Edetate Calcium Disodium	CHEMBL1200375
6096880	Edetate Calcium Disodium	CHEMBL3989522
46245300	Edetate Calcium Disodium	NA
6049	Edetate Calcium Disodium	CHEMBL858
25544	Edetate Calcium Disodium	NA
5150303	Edetate Calcium Disodium	NA
6852383	Edetate Calcium Disodium	NA
56840781	Edetate Calcium Disodium	NA
73169089	Edetate Calcium Disodium	NA
6335628	Edetate Calcium Disodium	NA
6207	EGTA	CHEMBL240390
3806114	Tartrate	NA
875	Tartrate	CHEMBL333714
119400	Tartrate	NA
444305	Tartrate	CHEMBL1236315
26757	L-deprenyl	CHEMBL972
26758	L-deprenyl	CHEMBL1200904
222786	Cortisone	CHEMBL1499
54670067	Ascorbic Acid	CHEMBL196
14985	Vitamin E	CHEMBL47
23675242	Sodium hypophosphite	CHEMBL2146115
4534	Nordihydroguaiaretic acid	CHEMBL52
16051918	Curare	CHEMBL292280
6000	Curare	CHEMBL339427
3293	Ethoxyquin	CHEMBL172064
5819	Thyroxin	CHEMBL1624
42486	Thiazolidine carboxylic acid	CHEMBL3245365
3830	Kinetin	CHEMBL228792
896	Melatonin	CHEMBL45
2519	Caffeine	CHEMBL113
9064	Catechin	CHEMBL311498
72276	Epicatechin	CHEMBL583912
1203	Epicatechin	CHEMBL206452
182232	Epicatechin	CHEMBL129482
255538	Epicatechin	NA
16129778	Tannic acid	CHEMBL506247
65064	Green tea extract	CHEMBL297453
4947	Propyl gallate	CHEMBL7983
54670067	Ascorbic acid	CHEMBL196
12035	N-acetyl-L-cysteine	CHEMBL600
638877	N-tert-butyl-alpha-phenylnitrone	CHEMBL13210
10313352	N-tert-butyl-alpha-phenylnitrone	CHEMBL1173477
