pathway	hgnc_symbol
hsa00010	AKR1A1
hsa00010	ADH1A
hsa00010	ADH1B
hsa00010	ADH1C
hsa00010	ADH4
hsa00010	ADH5
hsa00010	ADH6
hsa00010	GALM
hsa00010	ADH7
hsa00010	LDHAL6A
hsa00010	DLAT
hsa00010	DLD
hsa00010	ENO1
hsa00010	ENO2
hsa00010	ENO3
hsa00010	ALDH2
hsa00010	ALDH3A1
hsa00010	ALDH1B1
hsa00010	ALDH1A3
hsa00010	FBP1
hsa00010	ALDH3B1
hsa00010	ALDH3B2
hsa00010	ALDH9A1
hsa00010	ALDH3A2
hsa00010	ALDOA
hsa00010	
hsa00010	ALDOB
hsa00010	ALDOC
hsa00010	G6PC
hsa00010	GAPDH
hsa00010	GAPDHS
hsa00010	GCK
hsa00010	GPI
hsa00010	HK1
hsa00010	HK2
hsa00010	HK3
hsa00010	ENO4
hsa00010	LDHA
hsa00010	LDHB
hsa00010	LDHC
hsa00010	PGAM4
hsa00010	ALDH7A1
hsa00010	PCK1
hsa00010	PCK2
hsa00010	PDHA1
hsa00010	PDHA2
hsa00010	PDHB
hsa00010	PFKL
hsa00010	PFKM
hsa00010	PFKP
hsa00010	PGAM1
hsa00010	PGAM2
hsa00010	PGK1
hsa00010	PGK2
hsa00010	PGM1
hsa00010	PKLR
hsa00010	PKM
hsa00010	PGM2
hsa00010	ACSS2
hsa00010	G6PC2
hsa00010	BPGM
hsa00010	TPI1
hsa00010	HKDC1
hsa00010	ADPGK
hsa00010	ACSS1
hsa00010	FBP2
hsa00010	LDHAL6B
hsa00010	G6PC3
hsa00010	MINPP1
hsa00020	CS
hsa00020	DLAT
hsa00020	DLD
hsa00020	DLST
hsa00020	FH
hsa00020	IDH1
hsa00020	IDH2
hsa00020	IDH3A
hsa00020	IDH3B
hsa00020	IDH3G
hsa00020	MDH1
hsa00020	MDH2
hsa00020	ACLY
hsa00020	ACO1
hsa00020	OGDH
hsa00020	ACO2
hsa00020	PC
hsa00020	PCK1
hsa00020	PCK2
hsa00020	PDHA1
hsa00020	PDHA2
hsa00020	PDHB
hsa00020	OGDHL
hsa00020	SDHA
hsa00020	SDHB
hsa00020	SDHC
hsa00020	SDHD
hsa00020	SUCLG2
hsa00020	SUCLG1
hsa00020	SUCLA2
hsa00030	GLYCTK
hsa00030	FBP1
hsa00030	PRPS1L1
hsa00030	ALDOA
hsa00030	
hsa00030	ALDOB
hsa00030	RPIA
hsa00030	ALDOC
hsa00030	G6PD
hsa00030	PGLS
hsa00030	GPI
hsa00030	IDNK
hsa00030	DERA
hsa00030	PFKL
hsa00030	PFKM
hsa00030	PFKP
hsa00030	PGD
hsa00030	PGM1
hsa00030	PGM2
hsa00030	PRPS1
hsa00030	PRPS2
hsa00030	RPE
hsa00030	RBKS
hsa00030	TALDO1
hsa00030	TKT
hsa00030	RPEL1
hsa00030	TKTL1
hsa00030	TKTL2
hsa00030	FBP2
hsa00030	RGN
hsa00030	H6PD
hsa00040	AKR1A1
hsa00040	UGT2B11
hsa00040	UGT2A1
hsa00040	AKR1B1
hsa00040	DHDH
hsa00040	GUSB
hsa00040	CRYL1
hsa00040	DCXR
hsa00040	UGT2B28
hsa00040	UGT1A10
hsa00040	UGT1A8
hsa00040	UGT1A7
hsa00040	UGT1A6
hsa00040	UGT1A5
hsa00040	UGT1A9
hsa00040	UGT1A4
hsa00040	UGT1A1
hsa00040	UGT1A3
hsa00040	AKR1B10
hsa00040	UGT2A2
hsa00040	RPE
hsa00040	SORD
hsa00040	RPEL1
hsa00040	ISPD
hsa00040	UGDH
hsa00040	UGP2
hsa00040	UGT2B4
hsa00040	UGT2B7
hsa00040	UGT2B10
hsa00040	UGT2B15
hsa00040	UGT2B17
hsa00040	UGT2A3
hsa00040	KL
hsa00040	XYLB
hsa00051	FUK
hsa00051	FBP1
hsa00051	ALDOA
hsa00051	
hsa00051	ALDOB
hsa00051	ALDOC
hsa00051	AKR1B1
hsa00051	TKFC
hsa00051	GMDS
hsa00051	GMPPB
hsa00051	GMPPA
hsa00051	HK1
hsa00051	HK2
hsa00051	HK3
hsa00051	KHK
hsa00051	MPI
hsa00051	PFKFB1
hsa00051	PFKFB2
hsa00051	PFKFB3
hsa00051	PFKFB4
hsa00051	PFKL
hsa00051	PFKM
hsa00051	PFKP
hsa00051	PMM1
hsa00051	PMM2
hsa00051	ENOSF1
hsa00051	AKR1B10
hsa00051	TIGAR
hsa00051	SORD
hsa00051	TPI1
hsa00051	TSTA3
hsa00051	HKDC1
hsa00051	FBP2
hsa00051	FPGT
hsa00052	GALM
hsa00052	AKR1B1
hsa00052	G6PC
hsa00052	GAA
hsa00052	GALE
hsa00052	GALK1
hsa00052	GALT
hsa00052	GANC
hsa00052	GCK
hsa00052	B4GALT1
hsa00052	GLA
hsa00052	GLB1
hsa00052	HK1
hsa00052	HK2
hsa00052	HK3
hsa00052	LALBA
hsa00052	LCT
hsa00052	PFKL
hsa00052	PFKM
hsa00052	PFKP
hsa00052	PGM1
hsa00052	PGM2
hsa00052	AKR1B10
hsa00052	G6PC2
hsa00052	SI
hsa00052	UGP2
hsa00052	HKDC1
hsa00052	B4GALT2
hsa00052	MGAM
hsa00052	G6PC3
hsa00052	MGAM2
hsa00053	UGT2B11
hsa00053	UGT2A1
hsa00053	ALDH2
hsa00053	ALDH1B1
hsa00053	ALDH9A1
hsa00053	ALDH3A2
hsa00053	ALDH7A1
hsa00053	UGT2B28
hsa00053	UGT1A10
hsa00053	UGT1A8
hsa00053	UGT1A7
hsa00053	UGT1A6
hsa00053	UGT1A5
hsa00053	UGT1A9
hsa00053	UGT1A4
hsa00053	UGT1A1
hsa00053	UGT1A3
hsa00053	MIOX
hsa00053	UGT2A2
hsa00053	UGDH
hsa00053	UGT2B4
hsa00053	UGT2B7
hsa00053	UGT2B10
hsa00053	UGT2B15
hsa00053	UGT2B17
hsa00053	UGT2A3
hsa00053	RGN
hsa00061	ACSL1
hsa00061	ACSL3
hsa00061	ACSL4
hsa00061	FASN
hsa00061	ACSBG1
hsa00061	ACSL6
hsa00061	MCAT
hsa00061	ACACA
hsa00061	ACACB
hsa00061	ACSL5
hsa00061	OXSM
hsa00061	OLAH
hsa00061	ACSBG2
hsa00062	ACAA2
hsa00062	ACOT2
hsa00062	ACOT7
hsa00062	THEM4
hsa00062	ACOT4
hsa00062	ECHS1
hsa00062	HACD2
hsa00062	THEM5
hsa00062	HADHA
hsa00062	HADHB
hsa00062	HADH
hsa00062	HACD4
hsa00062	MECR
hsa00062	ABHD17B
hsa00062	HSD17B12
hsa00062	HACD3
hsa00062	ELOVL2
hsa00062	PPT1
hsa00062	ABHD17C
hsa00062	ELOVL5
hsa00062	ACOT1
hsa00062	ELOVL1
hsa00062	ELOVL4
hsa00062	ELOVL6
hsa00062	ELOVL7
hsa00062	ABHD17A
hsa00062	ELOVL3
hsa00062	HACD1
hsa00062	PPT2
hsa00062	TECR
hsa00071	ACAA2
hsa00071	ECI2
hsa00071	ADH1A
hsa00071	ADH1B
hsa00071	ADH1C
hsa00071	CPT1C
hsa00071	ADH4
hsa00071	ADH5
hsa00071	ADH6
hsa00071	ADH7
hsa00071	CPT1A
hsa00071	CPT1B
hsa00071	CPT2
hsa00071	CYP4A11
hsa00071	ECI1
hsa00071	ECHS1
hsa00071	EHHADH
hsa00071	ALDH2
hsa00071	ACSL1
hsa00071	ACSL3
hsa00071	ACSL4
hsa00071	ALDH1B1
hsa00071	ALDH9A1
hsa00071	ALDH3A2
hsa00071	ACSBG1
hsa00071	ACSL6
hsa00071	GCDH
hsa00071	CYP4A22
hsa00071	ACAA1
hsa00071	HADHA
hsa00071	HADHB
hsa00071	HADH
hsa00071	ACADL
hsa00071	ACADM
hsa00071	ACADS
hsa00071	ACADSB
hsa00071	ACADVL
hsa00071	ACAT1
hsa00071	ACAT2
hsa00071	ALDH7A1
hsa00071	ACOX1
hsa00071	ACSL5
hsa00071	ACSBG2
hsa00071	ACOX3
hsa00072	HMGCL
hsa00072	HMGCS1
hsa00072	HMGCS2
hsa00072	ACAT1
hsa00072	ACAT2
hsa00072	OXCT1
hsa00072	HMGCLL1
hsa00072	BDH2
hsa00072	BDH1
hsa00072	OXCT2
hsa00100	CEL
hsa00100	EBP
hsa00100	CYP2R1
hsa00100	CYP24A1
hsa00100	CYP27B1
hsa00100	CYP51A1
hsa00100	DHCR7
hsa00100	DHCR24
hsa00100	FDFT1
hsa00100	
hsa00100	LIPA
hsa00100	LSS
hsa00100	NSDHL
hsa00100	HSD17B7
hsa00100	MSMO1
hsa00100	SC5D
hsa00100	SOAT1
hsa00100	SQLE
hsa00100	TM7SF2
hsa00100	SOAT2
hsa00120	ACOT8
hsa00120	CYP46A1
hsa00120	SLC27A5
hsa00120	AKR1C4
hsa00120	CYP7A1
hsa00120	CYP8B1
hsa00120	CYP27A1
hsa00120	AMACR
hsa00120	HSD17B4
hsa00120	CYP39A1
hsa00120	BAAT
hsa00120	SCP2
hsa00120	AKR1D1
hsa00120	HSD3B7
hsa00120	ACOX2
hsa00120	CH25H
hsa00120	CYP7B1
hsa00130	COQ7
hsa00130	VKORC1L1
hsa00130	NQO1
hsa00130	GGCX
hsa00130	COQ2
hsa00130	HPD
hsa00130	COQ6
hsa00130	COQ3
hsa00130	TAT
hsa00130	VKORC1
hsa00130	COQ5
