ChEMBLID	study
CHEMBL52	Aliper2016
CHEMBL164	Aliper2016
CHEMBL143054	Aliper2016
CHEMBL1204354	Aliper2016
CHEMBL47940	Aliper2016
CHEMBL388978	Aliper2016
CHEMBL1537489	Aliper2016
CHEMBL1980995	Aliper2016
CHEMBL162	Aliper2016
CHEMBL2375177	Aliper2016
CHEMBL169	Aliper2016
CHEMBL600	Aliper2016
CHEMBL38380	Aliper2016
CHEMBL35482	Aliper2016
CHEMBL297453	Aliper2016
CHEMBL721	Barardo2017
CHEMBL1086218	Barardo2017
CHEMBL1251	Barardo2017
CHEMBL170365	Barardo2017
CHEMBL1200490	Barardo2017
CHEMBL506495	Barardo2017
CHEMBL604990	Barardo2017
CHEMBL410807	Barardo2017
CHEMBL325041	Barardo2017
CHEMBL417016	Barardo2017
CHEMBL442	Barardo2017
CHEMBL1554	Barardo2017
CHEMBL386115	Barardo2017
CHEMBL412190	Barardo2017
CHEMBL223643	Barardo2017
CHEMBL602575	Barardo2017
CHEMBL278315	Calvert2016
CHEMBL182055	Calvert2016
CHEMBL414883	Calvert2016
CHEMBL413	Calvert2016
CHEMBL593429	Calvert2016
CHEMBL98350	Calvert2016
CHEMBL289480	Calvert2016
CHEMBL98	Calvert2016
CHEMBL2178734	Calvert2016
CHEMBL211501	Calvert2016
CHEMBL3780878	Calvert2016
CHEMBL1433958	Calvert2016
CHEMBL109480	Calvert2016
CHEMBL99	Calvert2016
CHEMBL303062	Donertas2018
CHEMBL1624	Donertas2018
CHEMBL2103741	Donertas2018
CHEMBL588619	Donertas2018
CHEMBL2357353	Donertas2018
CHEMBL15134	Donertas2018
CHEMBL461234	Donertas2018
CHEMBL278315	Donertas2018
CHEMBL182055	Donertas2018
CHEMBL444633	Donertas2018
CHEMBL3392929	Donertas2018
CHEMBL177828	Donertas2018
CHEMBL109480	Donertas2018
CHEMBL383824	Donertas2018
CHEMBL98	Donertas2018
CHEMBL99	Donertas2018
CHEMBL422	Donertas2018
CHEMBL38	Donertas2018
CHEMBL98350	Donertas2018
CHEMBL479	Donertas2018
CHEMBL413	Donertas2018
CHEMBL428496	Donertas2018
CHEMBL165	Donertas2018
CHEMBL50588	Donertas2018
CHEMBL178	Donertas2018
CHEMBL1276446	Donertas2018
CHEMBL481	Donertas2018
CHEMBL65	Donertas2018
CHEMBL356066	Fernandes2016
CHEMBL1213492	Fernandes2016
CHEMBL2103863	Fernandes2016
CHEMBL408513	Fernandes2016
CHEMBL98	Fernandes2016
CHEMBL100014	Fernandes2016
CHEMBL1746	Fernandes2016
CHEMBL483254	Fernandes2016
CHEMBL109	Fernandes2016
CHEMBL920	Fernandes2016
CHEMBL27759	Fernandes2016
CHEMBL1908360	Fernandes2016
CHEMBL278819	Fernandes2016
CHEMBL343448	Fernandes2016
CHEMBL12318	Fernandes2016
CHEMBL109480	Fuentealba2018
CHEMBL941	Fuentealba2018
CHEMBL535	Fuentealba2018
CHEMBL99	Fuentealba2018
CHEMBL278315	Fuentealba2018
CHEMBL1336	Fuentealba2018
CHEMBL1421	Fuentealba2018
CHEMBL553	Fuentealba2018
CHEMBL44657	Fuentealba2018
CHEMBL118	Fuentealba2018
CHEMBL130266	Liu2016
CHEMBL418052	Liu2016
CHEMBL3560400	Liu2016
CHEMBL106072	Liu2016
CHEMBL428496	Liu2016
CHEMBL46575	Liu2016
CHEMBL43280	Liu2016
CHEMBL576	Liu2016
CHEMBL1686	Liu2016
CHEMBL1236594	Liu2016
CHEMBL283800	Liu2016
CHEMBL604196	Liu2016
CHEMBL1233147	Liu2016
CHEMBL3580425	Liu2016
CHEMBL71595	Liu2016
CHEMBL375951	Liu2016
CHEMBL1261	Liu2016
CHEMBL539669	Liu2016
CHEMBL75967	Liu2016
CHEMBL1231667	Liu2016
CHEMBL279107	Liu2016
CHEMBL1213327	Liu2016
CHEMBL87788	Liu2016
CHEMBL1160563	Liu2016
CHEMBL283807	Liu2016
CHEMBL384759	Liu2016
CHEMBL343480	Liu2016
CHEMBL1161632	Liu2016
CHEMBL1235228	Liu2016
CHEMBL1794791	Liu2016
CHEMBL1162144	Liu2016
CHEMBL336296	Liu2016
CHEMBL1624	Liu2016
CHEMBL1235252	Liu2016
CHEMBL1160819	Liu2016
CHEMBL1232448	Liu2016
CHEMBL75612	Liu2016
CHEMBL1236376	Liu2016
CHEMBL223533	Liu2016
CHEMBL407009	Liu2016
CHEMBL1160571	Liu2016
CHEMBL295069	Liu2016
CHEMBL30037	Liu2016
CHEMBL1234886	Liu2016
CHEMBL2106119	Liu2016
CHEMBL278434	Liu2016
CHEMBL228043	Liu2016
CHEMBL307679	Liu2016
CHEMBL214393	Liu2016
CHEMBL438497	Liu2016
CHEMBL296272	Liu2016
CHEMBL610238	Liu2016
CHEMBL78	Liu2016
CHEMBL95606	Liu2016
CHEMBL14830	Liu2016
CHEMBL395336	Liu2016
CHEMBL1234613	Liu2016
CHEMBL274119	Liu2016
CHEMBL3184255	Liu2016
CHEMBL108615	Liu2016
CHEMBL282489	Liu2016
CHEMBL71752	Liu2016
CHEMBL291962	Liu2016
CHEMBL613	Liu2016
CHEMBL1140	Liu2016
CHEMBL2019155	Liu2016
CHEMBL96	Liu2016
CHEMBL1162495	Liu2016
CHEMBL24983	Liu2016
CHEMBL1425	Liu2016
CHEMBL291747	Liu2016
CHEMBL986	Liu2016
CHEMBL268868	Liu2016
CHEMBL63243	Liu2016
CHEMBL15768	Liu2016
CHEMBL28564	Liu2016
CHEMBL1671887	Liu2016
CHEMBL925	Liu2016
CHEMBL13828	Liu2016
CHEMBL82293	Liu2016
CHEMBL667	Liu2016
CHEMBL920	Liu2016
CHEMBL257975	Liu2016
CHEMBL1614854	Liu2016
CHEMBL1200391	Liu2016
CHEMBL22207	Liu2016
CHEMBL7917	Liu2016
CHEMBL1479	Liu2016
CHEMBL1088977	Liu2016
CHEMBL81	Liu2016
CHEMBL219568	Liu2016
CHEMBL226345	Liu2016
CHEMBL792	Liu2016
CHEMBL1427	Liu2016
CHEMBL1424	Liu2016
CHEMBL296586	Liu2016
CHEMBL475534	Liu2016
CHEMBL146972	Liu2016
CHEMBL1732	Liu2016
CHEMBL284377	Liu2016
CHEMBL1230191	Liu2016
CHEMBL429023	Liu2016
CHEMBL64249	Liu2016
CHEMBL7064	Liu2016
CHEMBL51	Liu2016
CHEMBL139835	Liu2016
CHEMBL1233584	Liu2016
CHEMBL51085	Liu2016
CHEMBL8659	Liu2016
CHEMBL1113	Liu2016
CHEMBL503160	Liu2016
CHEMBL1230762	Liu2016
CHEMBL1046	Liu2016
CHEMBL334966	Mofidifar2018
CHEMBL1908841	Mofidifar2018
CHEMBL2106618	Mofidifar2018
CHEMBL2103872	Mofidifar2018
CHEMBL161	Mofidifar2018
CHEMBL1231574	Mofidifar2018
CHEMBL779	Snell2016
CHEMBL192	Snell2016
CHEMBL1520	Snell2016
CHEMBL279898	Snell2016
CHEMBL249856	Snell2016
CHEMBL12856	Snell2016
CHEMBL276832	Snell2016
CHEMBL848	Snell2016
CHEMBL1752	Snell2016
CHEMBL628	Snell2016
CHEMBL296306	Snell2016
CHEMBL1568	Snell2016
CHEMBL154	Snell2016
CHEMBL1237066	Snell2016
CHEMBL374975	Snell2016
CHEMBL477	Snell2016
CHEMBL1090	Snell2016
CHEMBL521	Snell2016
CHEMBL719	Snell2016
CHEMBL1342	Snell2016
CHEMBL741	Snell2016
CHEMBL558	Snell2016
CHEMBL1149	Snell2016
CHEMBL1679	Snell2016
CHEMBL34259	Snell2016
CHEMBL1201309	Snell2016
CHEMBL501505	Snell2016
CHEMBL477	Snell2018
CHEMBL1619	Snell2018
CHEMBL109	Snell2018
CHEMBL1201112	Snell2018
CHEMBL601	Snell2018
CHEMBL370143	Snell2018
CHEMBL1560	Snell2018
CHEMBL853	Snell2018
CHEMBL783	Snell2018
CHEMBL532	Snell2018
CHEMBL1603	Snell2018
CHEMBL501505	Snell2018
CHEMBL1201073	Snell2018
ChEMBL447868	Snell2018
CHEMBL1009	Snell2018
CHEMBL1430	Snell2018
CHEMBL1561	Snell2018
CHEMBL539	Snell2018
CHEMBL1201780	Snell2018
CHEMBL222863	Snell2018
CHEMBL578	Snell2018
CHEMBL553	Snell2018
CHEMBL341047	Snell2018
CHEMBL1144	Snell2018
CHEMBL267345	Snell2018
CHEMBL1239	Snell2018
CHEMBL1200431	Snell2018
CHEMBL1070	Snell2018
CHEMBL719	Snell2018
CHEMBL926	Snell2018
CHEMBL59030	Yang2018
CHEMBL267476	Yang2018
CHEMBL1421	Ziehm2017
CHEMBL399530	Ziehm2017
CHEMBL1090173	Ziehm2017
CHEMBL274064	Ziehm2017
CHEMBL478629	Ziehm2017
CHEMBL941	Ziehm2017
CHEMBL23327	Ziehm2017
CHEMBL559401	Ziehm2017
CHEMBL482708	Ziehm2017
CHEMBL1336	Ziehm2017
CHEMBL203631	Ziehm2017
CHEMBL1088751	Ziehm2017
CHEMBL365617	Ziehm2017
CHEMBL428462	Ziehm2017
CHEMBL255863	Ziehm2017
CHEMBL573339	Ziehm2017
CHEMBL87277	Ziehm2017
CHEMBL1940501	Ziehm2017
CHEMBL1946325	Ziehm2017
CHEMBL248643	Ziehm2017
CHEMBL270164	Ziehm2017
CHEMBL199237	Ziehm2017
CHEMBL249295	Ziehm2017
