Study	Drug	DrugName	Gene	Gene_in_GenAge_Human	Gene_in_GenAge_Model	Gene_targeted_by_DrugAge	Drug_targets_GenAge_Human	Drug_targets_GenAge_Model	Drug_in_DrugAge
Aliper2016	CHEMBL52	NORDIHYDROGUAIARETIC ACID	CSF2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL52	NORDIHYDROGUAIARETIC ACID	PLAU	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL52	NORDIHYDROGUAIARETIC ACID	AFP	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL52	NORDIHYDROGUAIARETIC ACID	MAPK10	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL52	NORDIHYDROGUAIARETIC ACID	TNF	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL47940	CHEMBL47940	LCK	NA	NA	TRUE	NA	NA	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PHKG2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CHRM1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	COL1A2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CSF2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	IL2RA	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	MAP2K4	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	VDR	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NR3C1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CP	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	DDIT3	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	IL17F	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	FCGR2B	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	FST	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NR5A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PRKCI	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CGA	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	TNIK	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	STK3	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	SLC2A4	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PAK2	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CCL11	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	BIRC5	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PRKACB	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CTGF	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PKN1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CD44	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	MAP2K6	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CAST	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	DIABLO	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	EZR	NA	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CAMK2B	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	TRPV1	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	GFAP	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CTSG	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NOS1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CGB5	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NPPC	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	IFI27	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	IGF1R	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CARD9	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CCNA2	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CYP19A1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PTGES	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	ITGAL	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	BDNF	TRUE	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	ADAMTS5	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	GNRH1	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	NFE2L2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	PLA2G1B	NA	NA	TRUE	TRUE	TRUE	TRUE
Aliper2016	CHEMBL388978	STAUROSPORINE	CXCL2	NA	NA	TRUE	TRUE	TRUE	TRUE
