Study	pathID	Pathway	percentageTargeted	percentage_in_Human_GenAge	percentage_in_Model_GenAge	percentage_targeted_by_DrugAge
Aliper2016	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Barardo2017	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Calvert2016	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Donertas2018	hsa00010	Glycolysis / Gluconeogenesis	0.05	0	0.25	0.1
Fernandes2016	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Fuentealba2018	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Liu2016	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Mofidifar2018	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Snell2016	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Snell2018	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Yang2018	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Ziehm2017	hsa00010	Glycolysis / Gluconeogenesis	0	0	0.25	0.1
Aliper2016	hsa00020	Citrate cycle (TCA cycle)	0.09090909090909091	0	0.2727272727272727	0.18181818181818182
Barardo2017	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Calvert2016	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Donertas2018	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Fernandes2016	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Fuentealba2018	hsa00020	Citrate cycle (TCA cycle)	0.18181818181818182	0	0.2727272727272727	0.18181818181818182
Liu2016	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Mofidifar2018	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Snell2016	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Snell2018	hsa00020	Citrate cycle (TCA cycle)	0.09090909090909091	0	0.2727272727272727	0.18181818181818182
Yang2018	hsa00020	Citrate cycle (TCA cycle)	0	0	0.2727272727272727	0.18181818181818182
Ziehm2017	hsa00020	Citrate cycle (TCA cycle)	0.18181818181818182	0	0.2727272727272727	0.18181818181818182
Aliper2016	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Barardo2017	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Calvert2016	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Donertas2018	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Fernandes2016	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Fuentealba2018	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Liu2016	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Mofidifar2018	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Snell2016	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Snell2018	hsa00030	Pentose phosphate pathway	0.4	0	0.8	0.2
Yang2018	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Ziehm2017	hsa00030	Pentose phosphate pathway	0	0	0.8	0.2
Aliper2016	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Barardo2017	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Calvert2016	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Donertas2018	hsa00040	Pentose and glucuronate interconversions	0.1	0	0	0
Fernandes2016	hsa00040	Pentose and glucuronate interconversions	0.1	0	0	0
Fuentealba2018	hsa00040	Pentose and glucuronate interconversions	0.1	0	0	0
Liu2016	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Mofidifar2018	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Snell2016	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Snell2018	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Yang2018	hsa00040	Pentose and glucuronate interconversions	0	0	0	0
Ziehm2017	hsa00040	Pentose and glucuronate interconversions	0.1	0	0	0
Aliper2016	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Barardo2017	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Calvert2016	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Donertas2018	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Fernandes2016	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Fuentealba2018	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Liu2016	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Mofidifar2018	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Snell2016	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Snell2018	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Yang2018	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Ziehm2017	hsa00051	Fructose and mannose metabolism	0	0	0.2857142857142857	0
Aliper2016	hsa00052	Galactose metabolism	0	0	0.125	0.5
Barardo2017	hsa00052	Galactose metabolism	0	0	0.125	0.5
Calvert2016	hsa00052	Galactose metabolism	0	0	0.125	0.5
Donertas2018	hsa00052	Galactose metabolism	0	0	0.125	0.5
Fernandes2016	hsa00052	Galactose metabolism	0	0	0.125	0.5
Fuentealba2018	hsa00052	Galactose metabolism	0	0	0.125	0.5
Liu2016	hsa00052	Galactose metabolism	0.125	0	0.125	0.5
Mofidifar2018	hsa00052	Galactose metabolism	0	0	0.125	0.5
Snell2016	hsa00052	Galactose metabolism	0	0	0.125	0.5
Snell2018	hsa00052	Galactose metabolism	0.25	0	0.125	0.5
Yang2018	hsa00052	Galactose metabolism	0	0	0.125	0.5
Ziehm2017	hsa00052	Galactose metabolism	0	0	0.125	0.5
Aliper2016	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Barardo2017	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Calvert2016	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Donertas2018	hsa00053	Ascorbate and aldarate metabolism	0.1111111111111111	0	0	0
Fernandes2016	hsa00053	Ascorbate and aldarate metabolism	0.1111111111111111	0	0	0
Fuentealba2018	hsa00053	Ascorbate and aldarate metabolism	0.1111111111111111	0	0	0
Liu2016	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Mofidifar2018	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Snell2016	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Snell2018	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Yang2018	hsa00053	Ascorbate and aldarate metabolism	0	0	0	0
Ziehm2017	hsa00053	Ascorbate and aldarate metabolism	0.1111111111111111	0	0	0
Aliper2016	hsa00061	Fatty acid biosynthesis	0	0	0	0
Barardo2017	hsa00061	Fatty acid biosynthesis	0	0	0	0
Calvert2016	hsa00061	Fatty acid biosynthesis	0	0	0	0
Donertas2018	hsa00061	Fatty acid biosynthesis	0	0	0	0
Fernandes2016	hsa00061	Fatty acid biosynthesis	0	0	0	0
Fuentealba2018	hsa00061	Fatty acid biosynthesis	0	0	0	0
Liu2016	hsa00061	Fatty acid biosynthesis	0	0	0	0
Mofidifar2018	hsa00061	Fatty acid biosynthesis	0	0	0	0
Snell2016	hsa00061	Fatty acid biosynthesis	0	0	0	0
Snell2018	hsa00061	Fatty acid biosynthesis	0	0	0	0
Yang2018	hsa00061	Fatty acid biosynthesis	0	0	0	0
Ziehm2017	hsa00061	Fatty acid biosynthesis	0	0	0	0
Aliper2016	hsa00062	Fatty acid elongation	0	0	0	1
Barardo2017	hsa00062	Fatty acid elongation	0	0	0	1
Calvert2016	hsa00062	Fatty acid elongation	0	0	0	1
Donertas2018	hsa00062	Fatty acid elongation	0	0	0	1
Fernandes2016	hsa00062	Fatty acid elongation	0	0	0	1
Fuentealba2018	hsa00062	Fatty acid elongation	0	0	0	1
Liu2016	hsa00062	Fatty acid elongation	0	0	0	1
Mofidifar2018	hsa00062	Fatty acid elongation	0	0	0	1
Snell2016	hsa00062	Fatty acid elongation	1	0	0	1
Snell2018	hsa00062	Fatty acid elongation	0	0	0	1
Yang2018	hsa00062	Fatty acid elongation	0	0	0	1
Ziehm2017	hsa00062	Fatty acid elongation	0	0	0	1
Aliper2016	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Barardo2017	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Calvert2016	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Donertas2018	hsa00071	Fatty acid degradation	0.16666666666666666	0	0.08333333333333333	0.25
Fernandes2016	hsa00071	Fatty acid degradation	0.08333333333333333	0	0.08333333333333333	0.25
Fuentealba2018	hsa00071	Fatty acid degradation	0.08333333333333333	0	0.08333333333333333	0.25
Liu2016	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Mofidifar2018	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Snell2016	hsa00071	Fatty acid degradation	0.16666666666666666	0	0.08333333333333333	0.25
Snell2018	hsa00071	Fatty acid degradation	0.08333333333333333	0	0.08333333333333333	0.25
Yang2018	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Ziehm2017	hsa00071	Fatty acid degradation	0	0	0.08333333333333333	0.25
Aliper2016	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Barardo2017	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Calvert2016	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Donertas2018	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Fernandes2016	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Fuentealba2018	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Liu2016	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Mofidifar2018	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Snell2016	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Snell2018	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Yang2018	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Ziehm2017	hsa00072	Synthesis and degradation of ketone bodies	0	0	0.5	0
Aliper2016	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Barardo2017	hsa00100	Steroid biosynthesis	0.1111111111111111	0	0.1111111111111111	0.2222222222222222
Calvert2016	hsa00100	Steroid biosynthesis	0.2222222222222222	0	0.1111111111111111	0.2222222222222222
Donertas2018	hsa00100	Steroid biosynthesis	0.3333333333333333	0	0.1111111111111111	0.2222222222222222
Fernandes2016	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Fuentealba2018	hsa00100	Steroid biosynthesis	0.2222222222222222	0	0.1111111111111111	0.2222222222222222
Liu2016	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Mofidifar2018	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Snell2016	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
Snell2018	hsa00100	Steroid biosynthesis	0	0	0.1111111111111111	0.2222222222222222
