PubChem_CID,red,blue,F_ratio,PubChem_CID,red,blue
CID100005691,0.000000467 ,0.000686405,1471.038427 ,CID100005691,0,0
CID000002909,0.000002844 ,0.001411884,496.461020 ,CID000002909,0,1
CID000006031,0.000003434 ,0.000751099,218.732971 ,CID000006031,0,0
CID100001158,0.000003434 ,0.000751099,218.732971 ,CID100001158,0,0
CID000439155,0.000015067 ,0.003137085,208.209491 ,CID000439155,0,0
CID100000193,0.000015067 ,0.003137085,208.209491 ,CID100000193,0,0
CID100001117,0.000005175 ,0.001054473,203.761181 ,CID100001117,0,0
CID100001079,0.000034607 ,0.005712758,165.077223 ,CID100001079,0,0
CID000066840,0.000006620 ,0.0010845,163.811303 ,CID000066840,0,0
CID000312145,0.000006620 ,0.0010845,163.811303 ,CID000312145,0,0
CID100000857,0.000004115 ,0.000667736,162.284598 ,CID100000857,0,0
CID100006329,0.000002202 ,0.000327751,148.828513 ,CID100006329,0,0
CID000006329,0.000003482 ,0.000518183,148.828498 ,CID000006329,0,0
CID000000271,0.000020549 ,0.002539073,123.562009 ,CID000000271,0,0
CID100000271,0.000020549 ,0.002539073,123.562009 ,CID100000271,0,0
CID100001110,0.000003133 ,0.000280521,89.538990 ,CID100001110,0,0
CID100000051,0.000004497 ,0.000402675,89.538990 ,CID100000051,0,0
CID016404350,0.000020838 ,0.001805816,86.658686 ,CID016404350,0,1
CID100004462,0.000046374 ,0.003892782,83.942651 ,CID100004462,0,0
CID100119058,0.000016276 ,0.001174694,72.173692 ,CID100119058,0,0
CID100440613,0.000002598 ,0.000181911,70.027990 ,CID100440613,0,0
CID000092153,0.000000892 ,6.24E-05,70.027990 ,CID000092153,0,0
CID100000074,0.000000892 ,6.24E-05,70.027990 ,CID100000074,0,0
CID000445344,0.000002638 ,0.000184713,70.027990 ,CID000445344,0,0
CID000446013,0.000000954 ,6.68E-05,70.027990 ,CID000446013,0,0
CID100000380,0.000002638 ,0.000184713,70.027990 ,CID100000380,0,0
CID100000705,0.000000954 ,6.68E-05,70.027990 ,CID100000705,0,0
CID000165390,0.000000663 ,4.64E-05,70.027990 ,CID000165390,0,0
CID100000877,0.000000663 ,4.64E-05,70.027990 ,CID100000877,0,0
CID100001126,0.000002615 ,0.000183112,70.027990 ,CID100001126,0,0
CID100000586,0.000004847 ,0.000330255,68.139776 ,CID100000586,0,0
CID000439762,0.000001849 ,0.000120478,65.155894 ,CID000439762,0,0
CID100001116,0.000001849 ,0.000120478,65.155894 ,CID100001116,0,0
CID000439284,0.000001952 ,0.000127215,65.155894 ,CID000439284,0,0
CID100000719,0.000001630 ,0.000106211,65.155894 ,CID100000719,0,0
CID000440641,0.000001393 ,9.08E-05,65.155894 ,CID000440641,0,0
CID000066370,0.000002536 ,0.000165261,65.155894 ,CID000066370,0,0
CID000018396,0.000003406 ,0.000221934,65.155894 ,CID000018396,0,0
CID100000732,0.000003351 ,0.000218367,65.155894 ,CID100000732,0,0
CID000006830,0.000049128 ,0.003168541,64.495636 ,CID000006830,0,0
CID100000762,0.000049128 ,0.003168541,64.495636 ,CID100000762,0,0
CID006450842,0.000023722 ,0.001431576,60.347050 ,CID006450842,0,1
CID100000232,0.000005863 ,0.000337099,57.494585 ,CID100000232,0,0
CID100000703,0.000006484 ,0.00036751,56.675405 ,CID100000703,0,0
CID100023925,0.000004181 ,0.000231167,55.283941 ,CID100023925,0,0
CID000000784,0.000004990 ,0.000275866,55.283941 ,CID000000784,0,0
CID100000784,0.000004990 ,0.000275866,55.283941 ,CID100000784,0,0
CID000001110,0.000005894 ,0.000300067,50.907020 ,CID000001110,0,0
