drugName;DrugBankID
adenosine;DB00640
cladribine;DB00242
valproic acid;DB00313
nelarabine;DB01280
aminolevulinic acid;DB00855
paromomycin;DB01421
captopril;DB01197
zalcitabine;DB00943
nateglinide;DB00731
erythromycin;DB00199
streptozocin;DB00428
colistin;DB00803
succimer;DB00566
salicylate-sodium;DB01398
levodopa;DB01235
penicillamine;DB00859
miglitol;DB00491
acetic acid;DB03166
carglumic acid;DB06775
ouabain;DB01092
enalapril;DB00584
erlotinib;DB00530
ivermectin;DB00602
pravastatin;DB00175
amphotericin b;DB00681
benzyl benzoate;DB00676
gadopentetate dimeglumine;DB00789
nabumetone;DB00461
mupirocin;DB00410
dobutamine;DB00841
